tweet_text	label_text	cleaned_text_bert	cleaned_text_bertweet
RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	infrastructure_and_utility_damage	California wildfires destroy more than 50 structures: KAKEnews	California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr
RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z	infrastructure_and_utility_damage	Photos of California's destructive wildfires, via :	Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z
Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr	other_relevant_information	Why California's wildfires are worse in the fall.	Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr
Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	not_humanitarian	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I red_heart her!	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I ❤️ her! https://t.co/Z5PmkUyUJ5
RT @Ciscokid__: Calistoga Fire #tubbsfire #napafire #ABC7now #kron4news #fire #california #napa https://t.co/aTcggkpkNe	not_humanitarian	Calistoga Fire tubbsfire napafire ABC7now kron4news fire california napa	Calistoga Fire #tubbsfire #napafire #ABC7now #kron4news #fire #california #napa https://t.co/aTcggkpkNe
RT @riellarose: When the entire state of California is on fire https://t.co/LuhKo2R2Wn	other_relevant_information	When the entire state of California is on fire	When the entire state of California is on fire https://t.co/LuhKo2R2Wn
Emergency medical supplies delivered tonight to Sonoma Public Health for evacuees of Northern California #Wildfires https://t.co/VjIgVAQBLL	rescue_volunteering_or_donation_effort	Emergency medical supplies delivered tonight to Sonoma Public Health for evacuees of Northern California Wildfires	Emergency medical supplies delivered tonight to Sonoma Public Health for evacuees of Northern California #Wildfires https://t.co/VjIgVAQBLL
The devastating #wildfires in California still not letting up. Details right now at 5:30 #ABC11 https://t.co/61S0Rb0lbu	other_relevant_information	The devastating wildfires in California still not letting up. Details right now at 5:30 ABC11	The devastating #wildfires in California still not letting up. Details right now at 5:30 #ABC11 https://t.co/61S0Rb0lbu
RT @azhaayanna: meanwhile california is on fire and it looks like we're living in blade runner. https://t.co/7f0pPHGe8B	not_humanitarian	meanwhile california is on fire and it looks like we're living in blade runner.	meanwhile california is on fire and it looks like we're living in blade runner. https://t.co/7f0pPHGe8B
Anyways, I drove through the Redwood Forest then next to the California wildfires https://t.co/yiK5BQh7PF	other_relevant_information	Anyways, I drove through the Redwood Forest then next to the California wildfires	Anyways, I drove through the Redwood Forest then next to the California wildfires https://t.co/yiK5BQh7PF
During our Summer long research on the #IRCURVE The Great Basin Inhale and Exhale was noted https://t.co/XTZmqqpZOl https://t.co/hHkjPqvSqw	not_humanitarian	During our Summer long research on the IRCURVE The Great Basin Inhale and Exhale was noted	During our Summer long research on the #IRCURVE The Great Basin Inhale and Exhale was noted https://t.co/XTZmqqpZOl https://t.co/hHkjPqvSqw
"The conspiracy nuts are saying the California Wildfires ""set by an atmospheric weapon."" :/ https://t.co/Mzhra0MaGj"	other_relevant_information	"The conspiracy nuts are saying the California Wildfires ""set by an atmospheric weapon."" :/"	"The conspiracy nuts are saying the California Wildfires ""set by an atmospheric weapon."" :/ https://t.co/Mzhra0MaGj"
Galifornia in Spain (picture), the Amazon in Brazil, California... The world in on fire á½¢Dá½¢1 https://t.co/hpPOaiIpLs	not_humanitarian	Galifornia in Spain (picture), the Amazon in Brazil, California... The world in on fire á1⁄2¢Dá1⁄2¢1	Galifornia in Spain (picture), the Amazon in Brazil, California... The world in on fire á1⁄2¢Dá1⁄2¢1 https://t.co/hpPOaiIpLs
#California #wildfire north of #Yosemite today. https://t.co/bd5JVikVuW	other_relevant_information	California wildfire north of Yosemite today.	#California #wildfire north of #Yosemite today. https://t.co/bd5JVikVuW
Scottsdale fire crew helps battle Northern California fires https://t.co/Ufnv07ocNP https://t.co/yR4KY0IlGE	rescue_volunteering_or_donation_effort	Scottsdale fire crew helps battle Northern California fires	Scottsdale fire crew helps battle Northern California fires https://t.co/Ufnv07ocNP https://t.co/yR4KY0IlGE
Red sun down Crosby Beach, looks like the California sun in the wildfires @LivEchonews #Liverpool #HurricaneOphelia https://t.co/gaavQlPNuU	not_humanitarian	Red sun down Crosby Beach, looks like the California sun in the wildfires Liverpool HurricaneOphelia	Red sun down Crosby Beach, looks like the California sun in the wildfires @LivEchonews #Liverpool #HurricaneOphelia https://t.co/gaavQlPNuU
#Hotels #Destroyed by Killer #California #Wildfires https://t.co/Z6DqybUpqi #event #meeting #planner https://t.co/vFclzDzTxz	infrastructure_and_utility_damage	Hotels Destroyed by Killer California Wildfires event meeting planner	#Hotels #Destroyed by Killer #California #Wildfires https://t.co/Z6DqybUpqi #event #meeting #planner https://t.co/vFclzDzTxz
Stunning maps and images from the @nytimes https://t.co/VnfXOeIKGI https://t.co/u2SECvuSzt	other_relevant_information	Stunning maps and images from the	Stunning maps and images from the @nytimes https://t.co/VnfXOeIKGI https://t.co/u2SECvuSzt
On the road to our live shot location this afternoon: Some of what the California wildfires left behind. https://t.co/qxFqMn6CJD	infrastructure_and_utility_damage	On the road to our live shot location this afternoon: Some of what the California wildfires left behind.	On the road to our live shot location this afternoon: Some of what the California wildfires left behind. https://t.co/qxFqMn6CJD
California may be on fire but damn that sunrise https://t.co/zyAk7wL6zC	not_humanitarian	California may be on fire but damn that sunrise	California may be on fire but damn that sunrise https://t.co/zyAk7wL6zC
@MaureenKTVU @KTVU Engineered drought causing wildfires https://t.co/r9GtyEHoUN https://t.co/0TfRT8FTjo	other_relevant_information	Engineered drought causing wildfires	@MaureenKTVU @KTVU Engineered drought causing wildfires https://t.co/r9GtyEHoUN https://t.co/0TfRT8FTjo
Forest City native shares experience evacuating from California wildfires https://t.co/Nf0jMWvLb9 https://t.co/NLXRbHGTmu	not_humanitarian	Forest City native shares experience evacuating from California wildfires	Forest City native shares experience evacuating from California wildfires https://t.co/Nf0jMWvLb9 https://t.co/NLXRbHGTmu
Fighting the wildfire in Santa Cruz, California with Washington Strike Team 2 with Cowlitz and Clark Counties. https://t.co/c9yTjK5e2K	rescue_volunteering_or_donation_effort	Fighting the wildfire in Santa Cruz, California with Washington Strike Team 2 with Cowlitz and Clark Counties.	Fighting the wildfire in Santa Cruz, California with Washington Strike Team 2 with Cowlitz and Clark Counties. https://t.co/c9yTjK5e2K
RT @TangoSierraFire: Acrylic painting on wood with gesso primer. I had the California wildfires on my mind. https://t.co/tJWeq8GKkf	not_humanitarian	Acrylic painting on wood with gesso primer. I had the California wildfires on my mind.	Acrylic painting on wood with gesso primer. I had the California wildfires on my mind. https://t.co/tJWeq8GKkf
Obama-nation destroyed 164 Million trees in Californiaâ€™s forests. Fire tinderbox https://t.co/sj5R0C7CX4 https://t.co/Upd9UQGuYi	infrastructure_and_utility_damage	Obama-nation destroyed 164 Million trees in California's forests. Fire tinderbox	Obama-nation destroyed 164 Million trees in California's forests. Fire tinderbox https://t.co/sj5R0C7CX4 https://t.co/Upd9UQGuYi
Residents recall the night they had to flee the #redwoodvalleyfire. https://t.co/rw44YA4N9j https://t.co/BEMx2XbOFB	affected_individuals	Residents recall the night they had to flee the redwoodvalleyfire.	Residents recall the night they had to flee the #redwoodvalleyfire. https://t.co/rw44YA4N9j https://t.co/BEMx2XbOFB
@MLB @Athletics .... Getting ready to wrap this up and send this in. cc: @steinersports https://t.co/u8ekIRmuza https://t.co/wKjeoVrflW	not_humanitarian	.... Getting ready to wrap this up and send this in. cc:	@MLB @Athletics .... Getting ready to wrap this up and send this in. cc: @steinersports https://t.co/u8ekIRmuza https://t.co/wKjeoVrflW
The Windows background is on fire in California right now, believe In global warming yet lol https://t.co/vLiwIRxInW	infrastructure_and_utility_damage	The Windows background is on fire in California right now, believe In global warming yet lol	The Windows background is on fire in California right now, believe In global warming yet lol https://t.co/vLiwIRxInW
California why are you on so much fire https://t.co/wSCOcZC8A0	other_relevant_information	California why are you on so much fire	California why are you on so much fire https://t.co/wSCOcZC8A0
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z	rescue_volunteering_or_donation_effort	Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT	Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z
RT @DisastersChart: #Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka	other_relevant_information	Sentinel2 was used to map the flood in Matara, SriLanka, on 28 May:	#Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka
@Anchoveebrother Hello dear Chile birds, Martin fisherman, Mora eagle, Pequen..âœŒá¼¿Dâ¤ï¸ https://t.co/tN4qxsUHYf	not_humanitarian	Hello dear Chile birds, Martin fisherman, Mora eagle, Pequen.. victory_hand ἿD red_heart	@Anchoveebrother Hello dear Chile birds, Martin fisherman, Mora eagle, Pequen..✌ἿD❤️ https://t.co/tN4qxsUHYf
After cyclone #mora #RCY Rangamati is in action with fire service BD. https://t.co/lwiU0DPqT5	rescue_volunteering_or_donation_effort	After cyclone mora RCY Rangamati is in action with fire service BD.	After cyclone #mora #RCY Rangamati is in action with fire service BD. https://t.co/lwiU0DPqT5
RT @The1975Brasil: Adam &amp; George potencial meme no Lollapalooza Chile por Pedro Mora https://t.co/ZnGDC6v6bn	not_humanitarian	Adam & George potencial meme no Lollapalooza Chile por Pedro Mora	Adam & George potencial meme no Lollapalooza Chile por Pedro Mora https://t.co/ZnGDC6v6bn
Indian Air Force plane delivers critical helicopter spare parts for Sri Lankan Air Force #FloodSL @SushmaSwaraj https://t.co/vK1a6MTg1c	rescue_volunteering_or_donation_effort	Indian Air Force plane delivers critical helicopter spare parts for Sri Lankan Air Force FloodSL	Indian Air Force plane delivers critical helicopter spare parts for Sri Lankan Air Force #FloodSL @SushmaSwaraj https://t.co/vK1a6MTg1c
#India, #Srilanka have religious relationships. #Indian_Navy playing vital role, to help in fighting flood. à¤œà¤¯ à¤¹à¤¿à¤‚à¤¦! https://t.co/x2vcAm19Fz	rescue_volunteering_or_donation_effort	India, Srilanka have religious relationships. Indian_Navy playing vital role, to help in fighting flood. जय हिंद!	#India, #Srilanka have religious relationships. #Indian_Navy playing vital role, to help in fighting flood. जय हिंद! https://t.co/x2vcAm19Fz
Authorities and military aid recovery in Mora-hit areas of Rakhine State https://t.co/7i2TclWec2 https://t.co/89Sq3sDOuM	rescue_volunteering_or_donation_effort	Authorities and military aid recovery in Mora-hit areas of Rakhine State	Authorities and military aid recovery in Mora-hit areas of Rakhine State https://t.co/7i2TclWec2 https://t.co/89Sq3sDOuM
Pictures of Chinese &amp; Pakistani medical teams working in Floof affected areas #FloodSL https://t.co/Fe3qq8VTbB	rescue_volunteering_or_donation_effort	Pictures of Chinese & Pakistani medical teams working in Floof affected areas FloodSL	Pictures of Chinese & Pakistani medical teams working in Floof affected areas #FloodSL https://t.co/Fe3qq8VTbB
RT @ZIabulHq: Consequences after Cyclone Mora destroyed the Refugees Houses. #Pray_For_Rohingya. https://t.co/NJ7RIsELH7	infrastructure_and_utility_damage	Consequences after Cyclone Mora destroyed the Refugees Houses. Pray_For_Rohingya.	Consequences after Cyclone Mora destroyed the Refugees Houses. #Pray_For_Rohingya. https://t.co/NJ7RIsELH7
Weather forecast #1stJune2017 #SLFloods2017 #FloodSL #lka #dmclk English and Sinhala https://t.co/C0FXfyVqpW	not_humanitarian	Weather forecast 1stJune2017 SLFloods2017 FloodSL lka dmclk English and Sinhala	Weather forecast #1stJune2017 #SLFloods2017 #FloodSL #lka #dmclk English and Sinhala https://t.co/C0FXfyVqpW
What does a dignity kit comprise? Check it out: https://t.co/07ZmYvmKgl @ippfsar @2014Sprint #FloodSL #SRHR @dfat https://t.co/gu0jaLgOvy	not_humanitarian	What does a dignity kit comprise? Check it out: FloodSL SRHR	What does a dignity kit comprise? Check it out: https://t.co/07ZmYvmKgl @ippfsar @2014Sprint #FloodSL #SRHR @dfat https://t.co/gu0jaLgOvy
Visiting flood Victimes in Bullathsinhala. @RajapaksaNamal #FloodSL #srilanka #namalrajapaksa https://t.co/lRlBggO49v	rescue_volunteering_or_donation_effort	Visiting flood Victimes in Bullathsinhala. FloodSL srilanka namalrajapaksa	Visiting flood Victimes in Bullathsinhala. @RajapaksaNamal #FloodSL #srilanka #namalrajapaksa https://t.co/lRlBggO49v
